Register for Kisan Swaraj Sammelan, ನೋಂದಣಿ ಮಾಡಿ ಕಿಸಾನ್ ಸ್ವರಾಜ್ ಸಮ್ಮೇಳನ
Email,ಇಮೇಲ್
jane@example.com,ಉದಾಹರಣೆ@ಇಮೇಲ್.com
Continue,ಮುಂದುವರಿಸು
or,ಅಥವಾ
I don't have an Email ID,ನನ್ನ ಬಳಿ ಇಮೇಲ್ ಐಡಿ ಇಲ್ಲ
Mobile Number,ಮೊಬೈಲ್ ಸಂಖ್ಯೆ
Enter your 10-digit mobile number,ನಿಮ್ಮ 10-ಅಂಕಿಯ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯನ್ನು ನಮೂದಿಸಿ
Email Required,ಇಮೇಲ್ ಅಗತ್ಯವಿದೆ
Please enter your email address,ದಯವಿಟ್ಟು ನಿಮ್ಮ ಇಮೇಲ್ ವಿಳಾಸವನ್ನು ನಮೂದಿಸಿ
Invalid Email,ಅಮಾನ್ಯ ಇಮೇಲ್
Please enter a valid email address,ದಯವಿಟ್ಟು ಮಾನ್ಯವಾದ ಇಮೇಲ್ ವಿಳಾಸವನ್ನು ನಮೂದಿಸಿ
Mobile Number Required,ಮೊಬೈಲ್ ಸಂಖ್ಯೆ ಅಗತ್ಯವಿದೆ
Please enter your mobile number,ದಯವಿಟ್ಟು ನಿಮ್ಮ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯನ್ನು ನಮೂದಿಸಿ
Invalid Mobile Number,ಅಮಾನ್ಯ ಮೊಬೈಲ್ ಸಂಖ್ಯೆ
Please enter a valid 10-digit Indian mobile number,ದಯವಿಟ್ಟು ಮಾನ್ಯವಾದ 10-ಅಂಕಿಯ ಭಾರತೀಯ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯನ್ನು ನಮೂದಿಸಿ
Error,ದೋಷ
An error occurred while creating user. Please try again.,ಬಳಕೆದಾರರನ್ನು ರಚಿಸುವಾಗ ದೋಷ ಸಂಭವಿಸಿದೆ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.
