Register for Kisan Swaraj Sammelan,രജിസ്റ്റർ ചെയ്യുക കിസാൻ സ്വരാജ് സമ്മേളനം
Email,ഇമെയിൽ
jane@example.com,ഉദാഹരണം@ഇമെയിൽ.com
Continue,തുടരുക
or,അല്ലെങ്കിൽ
I don't have an Email ID,എനിക്ക് ഇമെയിൽ ഐഡി ഇല്ല
Mobile Number,മൊബൈൽ നമ്പർ
Enter your 10-digit mobile number,നിങ്ങളുടെ 10-അക്ക മൊബൈൽ നമ്പർ നൽകുക
Email Required,ഇമെയിൽ ആവശ്യമാണ്
Please enter your email address,ദയവായി നിങ്ങളുടെ ഇമെയിൽ വിലാസം നൽകുക
Invalid Email,അസാധുവായ ഇമെയിൽ
Please enter a valid email address,ദയവായി സാധുവായ ഇമെയിൽ വിലാസം നൽകുക
Mobile Number Required,മൊബൈൽ നമ്പർ ആവശ്യമാണ്
Please enter your mobile number,ദയവായി നിങ്ങളുടെ മൊബൈൽ നമ്പർ നൽകുക
Invalid Mobile Number,അസാധുവായ മൊബൈൽ നമ്പർ
Please enter a valid 10-digit Indian mobile number,ദയവായി സാധുവായ 10-അക്ക ഇന്ത്യൻ മൊബൈൽ നമ്പർ നൽകുക
Error,പിശക്
An error occurred while creating user. Please try again.,ഉപയോക്താവിനെ സൃഷ്‌ടിക്കുമ്പോൾ ഒരു പിശക് സംഭവിച്ചു. ദയവായി വീണ്ടും ശ്രമിക്കുക.
