Register to,ನೋಂದಣಿ
Kisan Swaraj Sammelan,ಕಿಸಾನ್ ಸ್ವರಾಜ್ ಸಮ್ಮೇಳನ
Email,ఇమెయిల్
jane@example.com,ఉదాహరణ@ఇమెయిల్.com
Continue,కొనసాగించు
or,లేదా
I don't have an Email ID,నా దగ్గర ఇమెయిల్ ఐడీ లేదు
Mobile Number,మొబైల్ నంబర్
Enter your 10-digit mobile number,మీ 10-అంకెల మొబైల్ నంబర్‌ను నమోదు చేయండి
Email Required,ఇమెయిల్ అవసరం
Please enter your email address,దయచేసి మీ ఇమెయిల్ చిరునామాను నమోదు చేయండి
Invalid Email,చెల్లని ఇమెయిల్
Please enter a valid email address,దయచేసి చెల్లుబాటు అయ్యే ఇమెయిల్ చిరునామాను నమోదు చేయండి
Mobile Number Required,మొబైల్ నంబర్ అవసరం
Please enter your mobile number,దయచేసి మీ మొబైల్ నంబర్‌ను నమోదు చేయండి
Invalid Mobile Number,చెల్లని మొబైల్ నంబర్
Please enter a valid 10-digit Indian mobile number,దయచేసి చెల్లుబాటు అయ్యే 10-అంకెల భారతీయ మొబైల్ నంబర్‌ను నమోదు చేయండి
Error,దోషం
An error occurred while creating user. Please try again.,వినియోగదారుని సృష్టించేటప్పుడు లోపం సంభవించింది. దయచేసి మళ్లీ ప్రయత్నించండి.
